	WT_R1	WT_R2	mutant_R1	mutant_R2
WBGene00023193	36.1914365838397	37.2778843103395	154.75608323851	145.475459416566
WBGene00022277	130.732332149788	126.744806655154	46.0085652871246	45.939618763126
WBGene00022276	3.69300373304487	6.71001917586111	2.78839789618937	5.10440208479178
WBGene00022278	107.83570900491	93.9402684620556	153.361884290415	158.236464628545
WBGene00022279	80.5074813803781	98.4136145792963	65.5273505604502	62.5289255386993
WBGene00170953	0	0	0	0
WBGene00173569	0	0	0	0
WBGene00022275	257.771660566532	227.395094293071	62.7389526642609	53.5962218903137
WBGene00044345	86.4162873532499	80.5202301103333	122.689507432332	100.811941174638
WBGene00021677	45.0546455431474	52.9345957206821	19.5187852733256	28.0742114663548
WBGene00021678	404.014608395108	436.896804117179	188.216857992783	192.69117870089
WBGene00000812	237.09083966148	286.294151503407	110.14171689948	116.125147429013
WBGene00021683	26.589626877923	26.0945190172377	30.6723768580831	43.3874177207301
WBGene00021679	757.065765274198	764.942186048167	1557.32022502176	1417.74767905092
WBGene00021684	158.06055977432	156.567114103426	71.104146352829	95.7075390898459
WBGene00021682	33.9756343440128	31.3134228206852	30.6723768580831	42.1113171995322
WBGene00021676	698.716306292089	665.037456096457	607.870741369283	750.347106464391
WBGene00189949	0.738600746608973	0	0	0
WBGene00206367	205.331007557295	190.117209982731	262.109402241801	274.361612057558
WBGene00021681	118.914720204045	114.815883675846	133.84309901709	139.094956810576
WBGene00004274	242.999645634352	249.016267193068	287.204983307505	377.725754274592
WBGene00199899	0	0	1.39419894809469	1.27610052119794
WBGene00199597	1.47720149321795	2.23667305862037	1.39419894809469	2.55220104239589
WBGene00004418	56.133656742282	52.1890380344753	68.3157484566396	42.1113171995322
WBGene00202494	6.64740671948076	2.98223074482716	12.5477905328522	5.10440208479178
WBGene00023461	0	0	0	0
WBGene00018774	5.17020522626281	4.47334611724074	1.39419894809469	0
WBGene00045049	0.738600746608973	2.23667305862037	2.78839789618937	0
WBGene00018773	198.683600837814	184.152748493077	25.0955810657043	20.4176083391671
WBGene00171818	0	0	0	0
WBGene00000622	115.221716471	80.5202301103333	12.5477905328522	24.2459099027609
WBGene00004962	0.738600746608973	0	0	0
WBGene00003229	112.267313484564	110.342537558605	98.9881253147227	127.610052119794
WBGene00018772	1108.63972066007	1048.99966449295	1857.07299886212	1541.52942960712
WBGene00018771	5.17020522626281	5.96446148965432	2.78839789618937	3.82830156359383
WBGene00018775	1.47720149321795	0.74555768620679	0	0
WBGene00000253	88.6320895930768	85.7391339137809	22.307183169515	22.969809381563
WBGene00004225	7.38600746608973	5.21890380344753	9.7593926366628	5.10440208479178
WBGene00018958	3.69300373304487	1.49111537241358	0	0
WBGene00201018	0	0	0	0
WBGene00018957	70.1670709278525	84.2480185413673	126.872104276616	88.0509359626582
WBGene00018955	4.43160447965384	5.96446148965432	6.97099474047343	5.10440208479178
WBGene00000227	768.883377219941	799.983397299886	720.800856164953	703.131387180068
WBGene00023295	0	0	0	0
WBGene00021666	0.738600746608973	1.49111537241358	0	0
WBGene00004246	377.424981517185	381.725535337877	386.193108622228	387.934558444175
WBGene00021662	123.346324683699	90.2124800310216	90.6229316261546	89.3270364838561
WBGene00021663	2.95440298643589	3.72778843103395	1.39419894809469	6.38050260598972
WBGene00021664	131.470932896397	161.040460220667	685.945882462585	578.073536102669
WBGene00021665	443.899048711993	364.57770855512	411.288689687932	419.837071474124
WBGene00021671	2518.6285459366	2640.01976685824	726.377651957331	735.033900210016
WBGene00021672	426.172630793378	401.85559286546	483.787034988856	570.416932975481
WBGene00021668	0	0	0	2.55220104239589
WBGene00021673	5047.59750232572	5209.95711121305	5840.29939356864	6343.49569087498
WBGene00021667	61.3038619685448	46.9701342310278	27.8839789618937	51.0440208479178
WBGene00021674	146.242947828577	160.29490253446	581.380961355484	475.985494406833
WBGene00021675	0	0.74555768620679	0	1.27610052119794
WBGene00220069	0	0	0	0
WBGene00169222	0	0	0	0
WBGene00166448	0	0	0	0
WBGene00016904	0	0	0	0
WBGene00016903	0	0.74555768620679	0	0
WBGene00016905	47.2704477829743	64.117961013784	59.9505547680715	90.6031370050541
WBGene00016902	11.0790111991346	18.6389421551698	29.2781779099884	19.1415078179692
WBGene00016906	39.8844403168846	29.8223074482716	13.9419894809469	16.5893067755733
WBGene00002077	505.941511427147	551.712687793025	421.048082324595	413.456568868134
WBGene00002079	252.601455340269	280.329690013753	249.561611708949	287.122617269538
WBGene00021660	299.871903123243	289.276382248235	203.553046421824	220.765390167244
WBGene00000917	96.7566978057755	119.289229793086	97.593926366628	131.438353683388
