	gene	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	WBGene00000075	adm-4	46.4816577862426	-3.09635115563975	0.51957381981306	-4.0757147932679	4.58732160384778e-05	0.00115452623654735
2	WBGene00000140	anc-1	713.706330346208	-1.70784639506648	0.201714720104938	-3.5684916049917	0.000359042355833041	0.00752611798487287
3	WBGene00000177	aqp-9	39.9772020023938	-2.86038086406346	0.538487599338301	-3.5341123227568	0.000409147164045284	0.00843769528870746
4	WBGene00000207	asb-2	152.096641379629	-1.98524372240923	0.294262393049163	-3.42911624401485	0.000605550110863338	0.0117590454269426
5	WBGene00000393	cdf-1	124.974661302291	-2.1781798407904	0.319067884593563	-3.77591220025281	0.000159423144351142	0.0036301978494958
6	WBGene00000443	ceh-20	3948.25435216707	1.58961526804471	0.112454158252488	5.27650282382097	1.31672485132888e-07	4.55511282588859e-06
7	WBGene00000497	chs-2	172.733654294851	-4.48980981202357	0.3793481760062	-8.99038115051397	2.46374516939514e-19	2.54731274203273e-17
8	WBGene00000514	ckb-4	141.151763614141	-2.96167435163546	0.333225180274212	-5.93942083666022	2.86030753354095e-09	1.26498340688565e-07
9	WBGene00000518	ckk-1	417.420356176385	-5.60862395499472	0.325095831288662	-13.6742941951879	1.44603546623742e-42	4.425446940873e-40
10	WBGene00000545	clp-4	113.612057507664	-2.58824510745722	0.343080890723365	-4.70218838016887	2.57387861559164e-06	7.54511313712323e-05
11	WBGene00000546	clp-6	160.239873647284	-3.00755887788283	0.316102329234795	-6.39783495624493	1.57595494051926e-10	8.3156077585606e-09
12	WBGene00000554	cnb-1	283.029276970597	-1.75365628202304	0.24814445548495	-3.10936603129667	0.00187489288531293	0.0324543110079847
13	WBGene00000615	col-38	58.97366462374	-4.44012489867841	0.582958377395997	-5.45254932719946	4.9652792739122e-08	1.82641114061069e-06
14	WBGene00000685	col-111	178.34596617542	-5.85943628357535	0.499232241808044	-8.58611940256321	8.99561779590106e-18	8.60318396955488e-16
15	WBGene00000728	col-155	101.229368149433	-2.15846187938041	0.339387638807782	-3.50149000451341	0.000462664326039357	0.00941448074076362
16	WBGene00000775	cpin-1	74.8673569155401	-3.02047531042049	0.423560621845711	-4.81835244000705	1.4474851773673e-06	4.37735537234674e-05
17	WBGene00000780	cpn-4	2504.54644534191	1.42713934859628	0.120066295640882	3.59317607809898	0.00032667167899564	0.00694268059998789
18	WBGene00000903	daf-7	116.868515610556	-4.05731268307411	0.408570318941804	-7.35182058627313	1.95525145137073e-13	1.32386096056968e-11
19	WBGene00000961	dgn-1	59.7204209712534	-2.87152275142283	0.456111525211302	-4.17011090818262	3.04451437811715e-05	0.000786945253613996
20	WBGene00001008	dlk-1	514.657015608141	-4.66659457412973	0.248826363218534	-14.6148535652633	2.25839448737551e-48	1.01641036605353e-45
21	WBGene00001042	dnj-24	1506.34635687523	2.83332007417936	0.130974680966732	14.0328466132228	9.81321312282823e-45	3.57528064775042e-42
22	WBGene00001119	dyf-3	288.599374166137	-5.90657114461776	0.416428678881038	-10.9378579560166	7.59737025128017e-28	1.32107908619419e-25
23	WBGene00001131	dys-1	199.24661155016	-2.27368254631341	0.267923910175703	-4.82237513947128	1.41858829100471e-06	4.30699167241152e-05
24	WBGene00001583	gfi-3	149.354831487633	-2.21412966229969	0.291560482577934	-4.23854164848683	2.24976450307518e-05	0.000595603744395439
25	WBGene00001638	gly-13	381.517591363164	-2.21119631045704	0.199510470934123	-6.12277392076042	9.19601334276739e-10	4.42507535129014e-08
26	WBGene00001745	gsa-1	818.146437953028	-3.75273901874798	0.174355752946772	-15.7893055421515	3.68615721636903e-56	2.01448491874568e-53
