My_sample_name	BPF_fastq_file_name	index	replicate	lane
AF3_R1_L1.fastq	LIB039335_SRN00145915_S1_L001_R1.fastq	SG-461.1	1	1
AF3_R1_L2.fastq	LIB039335_SRN00145915_S1_L002_R1.fastq	SG-461.1	1	2
AF3_R1_L3.fastq	LIB039335_SRN00145915_S1_L003_R1.fastq	SG-461.1	1	3
AF3_R1_L4.fastq	LIB039335_SRN00145915_S1_L004_R1.fastq	SG-461.1	1	4
AF3_R2_L1.fastq	LIB039335_SRN00145927_S13_L001_R1.fastq	SG-461.13	2	1
AF3_R2_L2.fastq	LIB039335_SRN00145927_S13_L002_R1.fastq	SG-461.13	2	2
AF3_R2_L3.fastq	LIB039335_SRN00145927_S13_L003_R1.fastq	SG-461.13	2	3
AF3_R2_L4.fastq	LIB039335_SRN00145927_S13_L004_R1.fastq	SG-461.13	2	4
JH3225_R1_L1.fastq	LIB039335_SRN00145916_S2_L001_R1.fastq	SG-461.2	1	1
JH3225_R1_L2.fastq	LIB039335_SRN00145916_S2_L002_R1.fastq	SG-461.2	1	2
JH3225_R1_L3.fastq	LIB039335_SRN00145916_S2_L003_R1.fastq	SG-461.2	1	3
JH3225_R1_L4.fastq	LIB039335_SRN00145916_S2_L004_R1.fastq	SG-461.2	1	4
JH3225_R2_L1.fastq	LIB039335_SRN00145928_S14_L001_R1.fastq	SG-461.14	2	1
JH3225_R2_L2.fastq	LIB039335_SRN00145928_S14_L002_R1.fastq	SG-461.14	2	2
JH3225_R2_L3.fastq	LIB039335_SRN00145928_S14_L003_R1.fastq	SG-461.14	2	3
JH3225_R2_L4.fastq	LIB039335_SRN00145928_S14_L004_R1.fastq	SG-461.14	2	4
YY1512_R1_L1.fastq	LIB039335_SRN00145917_S3_L001_R1.fastq	SG-461.3	1	1
YY1512_R1_L2.fastq	LIB039335_SRN00145917_S3_L002_R1.fastq	SG-461.3	1	2
YY1512_R1_L3.fastq	LIB039335_SRN00145917_S3_L003_R1.fastq	SG-461.3	1	3
YY1512_R1_L4.fastq	LIB039335_SRN00145917_S3_L004_R1.fastq	SG-461.3	1	4
YY1512_R2_L1.fastq	LIB039335_SRN00145929_S15_L001_R1.fastq	SG-461.15	2	1
YY1512_R2_L2.fastq	LIB039335_SRN00145929_S15_L002_R1.fastq	SG-461.15	2	2
YY1512_R2_L3.fastq	LIB039335_SRN00145929_S15_L003_R1.fastq	SG-461.15	2	3
YY1512_R2_L4.fastq	LIB039335_SRN00145929_S15_L004_R1.fastq	SG-461.15	2	4
BF3_R1_L1.fastq	LIB039335_SRN00145918_S4_L001_R1.fastq	SG-461.4	1	1
BF3_R1_L2.fastq	LIB039335_SRN00145918_S4_L002_R1.fastq	SG-461.4	1	2
BF3_R1_L3.fastq	LIB039335_SRN00145918_S4_L003_R1.fastq	SG-461.4	1	3
BF3_R1_L4.fastq	LIB039335_SRN00145918_S4_L004_R1.fastq	SG-461.4	1	4
BF3_R2_L1.fastq	LIB039335_SRN00145930_S16_L001_R1.fastq	SG-461.16	2	1
BF3_R2_L2.fastq	LIB039335_SRN00145930_S16_L002_R1.fastq	SG-461.16	2	2
BF3_R2_L3.fastq	LIB039335_SRN00145930_S16_L003_R1.fastq	SG-461.16	2	3
BF3_R2_L4.fastq	LIB039335_SRN00145930_S16_L004_R1.fastq	SG-461.16	2	4
BF4_R1_L1.fastq	LIB039335_SRN00145919_S5_L001_R1.fastq	SG-461.5	1	1
BF4_R1_L2.fastq	LIB039335_SRN00145919_S5_L002_R1.fastq	SG-461.5	1	2
BF4_R1_L3.fastq	LIB039335_SRN00145919_S5_L003_R1.fastq	SG-461.5	1	3
BF4_R1_L4.fastq	LIB039335_SRN00145919_S5_L004_R1.fastq	SG-461.5	1	4
BF4_R2_L1.fastq	LIB039335_SRN00145931_S17_L001_R1.fastq	SG-461.17	2	1
BF4_R2_L2.fastq	LIB039335_SRN00145931_S17_L002_R1.fastq	SG-461.17	2	2
BF4_R2_L3.fastq	LIB039335_SRN00145931_S17_L003_R1.fastq	SG-461.17	2	3
BF4_R2_L4.fastq	LIB039335_SRN00145931_S17_L004_R1.fastq	SG-461.17	2	4
BF5_R1_L1.fastq	LIB039335_SRN00145920_S6_L001_R1.fastq	SG-461.6	1	1
BF5_R1_L2.fastq	LIB039335_SRN00145920_S6_L002_R1.fastq	SG-461.6	1	2
BF5_R1_L3.fastq	LIB039335_SRN00145920_S6_L003_R1.fastq	SG-461.6	1	3
BF5_R1_L4.fastq	LIB039335_SRN00145920_S6_L004_R1.fastq	SG-461.6	1	4
BF5_R2_L1.fastq	LIB039335_SRN00145932_S18_L001_R1.fastq	SG-461.18	2	1
BF5_R2_L2.fastq	LIB039335_SRN00145932_S18_L002_R1.fastq	SG-461.18	2	2
BF5_R2_L3.fastq	LIB039335_SRN00145932_S18_L003_R1.fastq	SG-461.18	2	3
BF5_R2_L4.fastq	LIB039335_SRN00145932_S18_L004_R1.fastq	SG-461.18	2	4
BF6_R1_L1.fastq	LIB039335_SRN00145921_S7_L001_R1.fastq	SG-461.7	1	1
BF6_R1_L2.fastq	LIB039335_SRN00145921_S7_L002_R1.fastq	SG-461.7	1	2
BF6_R1_L3.fastq	LIB039335_SRN00145921_S7_L003_R1.fastq	SG-461.7	1	3
BF6_R1_L4.fastq	LIB039335_SRN00145921_S7_L004_R1.fastq	SG-461.7	1	4
BF6_R2_L1.fastq	LIB039335_SRN00145933_S19_L001_R1.fastq	SG-461.19	2	1
BF6_R2_L2.fastq	LIB039335_SRN00145933_S19_L002_R1.fastq	SG-461.19	2	2
BF6_R2_L3.fastq	LIB039335_SRN00145933_S19_L003_R1.fastq	SG-461.19	2	3
BF6_R2_L4.fastq	LIB039335_SRN00145933_S19_L004_R1.fastq	SG-461.19	2	4
BF7_R1_L1.fastq	LIB039335_SRN00145922_S8_L001_R1.fastq	SG-461.8	1	1
BF7_R1_L2.fastq	LIB039335_SRN00145922_S8_L002_R1.fastq	SG-461.8	1	2
BF7_R1_L3.fastq	LIB039335_SRN00145922_S8_L003_R1.fastq	SG-461.8	1	3
BF7_R1_L4.fastq	LIB039335_SRN00145922_S8_L004_R1.fastq	SG-461.8	1	4
BF7_R2_L1.fastq	LIB039335_SRN00145934_S20_L001_R1.fastq	SG-461.20	2	1
BF7_R2_L2.fastq	LIB039335_SRN00145934_S20_L002_R1.fastq	SG-461.20	2	2
BF7_R2_L3.fastq	LIB039335_SRN00145934_S20_L003_R1.fastq	SG-461.20	2	3
BF7_R2_L4.fastq	LIB039335_SRN00145934_S20_L004_R1.fastq	SG-461.20	2	4
BF10_R1_L1.fastq	LIB039335_SRN00145923_S9_L001_R1.fastq	SG-461.9	1	1
BF10_R1_L2.fastq	LIB039335_SRN00145923_S9_L002_R1.fastq	SG-461.9	1	2
BF10_R1_L3.fastq	LIB039335_SRN00145923_S9_L003_R1.fastq	SG-461.9	1	3
BF10_R1_L4.fastq	LIB039335_SRN00145923_S9_L004_R1.fastq	SG-461.9	1	4
BF10_R2_L1.fastq	LIB039335_SRN00145935_S21_L001_R1.fastq	SG-461.21	2	1
BF10_R2_L2.fastq	LIB039335_SRN00145935_S21_L002_R1.fastq	SG-461.21	2	2
BF10_R2_L3.fastq	LIB039335_SRN00145935_S21_L003_R1.fastq	SG-461.21	2	3
BF10_R2_L4.fastq	LIB039335_SRN00145935_S21_L004_R1.fastq	SG-461.21	2	4
BF15_R1_L1.fastq	LIB039335_SRN00145924_S10_L001_R1.fastq	SG-461.10	1	1
BF15_R1_L2.fastq	LIB039335_SRN00145924_S10_L002_R1.fastq	SG-461.10	1	2
BF15_R1_L3.fastq	LIB039335_SRN00145924_S10_L003_R1.fastq	SG-461.10	1	3
BF15_R1_L4.fastq	LIB039335_SRN00145924_S10_L004_R1.fastq	SG-461.10	1	4
BF15_R2_L1.fastq	LIB039335_SRN00145936_S22_L001_R1.fastq	SG-461.22	2	1
BF15_R2_L2.fastq	LIB039335_SRN00145936_S22_L002_R1.fastq	SG-461.22	2	2
BF15_R2_L3.fastq	LIB039335_SRN00145936_S22_L003_R1.fastq	SG-461.22	2	3
BF15_R2_L4.fastq	LIB039335_SRN00145936_S22_L004_R1.fastq	SG-461.22	2	4
BF20_R1_L1.fastq	LIB039335_SRN00145925_S11_L001_R1.fastq	SG-461.11	1	1
BF20_R1_L2.fastq	LIB039335_SRN00145925_S11_L002_R1.fastq	SG-461.11	1	2
BF20_R1_L3.fastq	LIB039335_SRN00145925_S11_L003_R1.fastq	SG-461.11	1	3
BF20_R1_L4.fastq	LIB039335_SRN00145925_S11_L004_R1.fastq	SG-461.11	1	4
BF20_R2_L1.fastq	LIB039335_SRN00145937_S23_L001_R1.fastq	SG-461.23	2	1
BF20_R2_L2.fastq	LIB039335_SRN00145937_S23_L002_R1.fastq	SG-461.23	2	2
BF20_R2_L3.fastq	LIB039335_SRN00145937_S23_L003_R1.fastq	SG-461.23	2	3
BF20_R2_L4.fastq	LIB039335_SRN00145937_S23_L004_R1.fastq	SG-461.23	2	4
BF25_R1_L1.fastq	LIB039335_SRN00145926_S12_L001_R1.fastq	SG-461.12	1	1
BF25_R1_L2.fastq	LIB039335_SRN00145926_S12_L002_R1.fastq	SG-461.12	1	2
BF25_R1_L3.fastq	LIB039335_SRN00145926_S12_L003_R1.fastq	SG-461.12	1	3
BF25_R1_L4.fastq	LIB039335_SRN00145926_S12_L004_R1.fastq	SG-461.12	1	4
BF25_R2_L1.fastq	LIB039335_SRN00145938_S24_L001_R1.fastq	SG-461.24	2	1
BF25_R2_L2.fastq	LIB039335_SRN00145938_S24_L002_R1.fastq	SG-461.24	2	2
BF25_R2_L3.fastq	LIB039335_SRN00145938_S24_L003_R1.fastq	SG-461.24	2	3
BF25_R2_L4.fastq	LIB039335_SRN00145938_S24_L004_R1.fastq	SG-461.24	2	4
